이름,업로드된 날짜,업로드 후 수정된 날짜,스냅샷 기준일,URL,스크랩,대상,체크박스,채널,소유자,정보 유형
"연희 요가위크, 다양한 수련·친절한 티칭",2026년 5월 7일,,2026년 5월 8일,https://blog.naver.com/obs2021/224277842457,%EB%84%A4%EC%9D%B4%EB%B2%84_%EB%B8%94%EB%A1%9C%EA%B7%B8_20260507.pdf,빅블루 요가,No,네이버 블로그,dididada,리뷰
"연희요가위크 빅블루 수업, 비트박스까지 신선",2026년 5월 3일,,2026년 5월 8일,https://blog.naver.com/newnany/224273087109,%EB%84%A4%EC%9D%B4%EB%B2%84_%EB%B8%94%EB%A1%9C%EA%B7%B8_20260503_(2).pdf,빅블루 요가,No,네이버 블로그,뉴나니,리뷰
"호흡리커버리, 초보도 편한 정렬 요가",2026년 5월 3일,,2026년 5월 8일,https://blog.naver.com/bluejazzdenim/224269696085,%EB%84%A4%EC%9D%B4%EB%B2%84_%EB%B8%94%EB%A1%9C%EA%B7%B8_20260503_(1).pdf,빅블루 요가,No,네이버 블로그,뫼르소나,리뷰
연희요가위크 시작 소식,2026년 4월 21일,,2026년 5월 8일,https://blog.naver.com/knr1156/224259587305,%EB%84%A4%EC%9D%B4%EB%B2%84_%EB%B8%94%EB%A1%9C%EA%B7%B8_20260421.pdf,빅블루 요가,No,네이버 블로그,모든걸사고싶은맘,리뷰
"2:1 고전 하타요가, 힘들지만 유연성 향상",2023년 8월 14일,,2026년 5월 8일,https://blog.naver.com/jisoolog_/223183346762,%EB%84%A4%EC%9D%B4%EB%B2%84_%EB%B8%94%EB%A1%9C%EA%B7%B8_20230814.pdf,아가르 스튜디오,No,네이버 블로그,jisoolog,리뷰
아가르 요가 9/29 워크숍 안내,2024년 9월 23일,,2026년 5월 8일,https://blog.naver.com/hwayoungpark-/223593441925,%EB%84%A4%EC%9D%B4%EB%B2%84_%EB%B8%94%EB%A1%9C%EA%B7%B8_20240923.pdf,아가르 스튜디오,No,네이버 블로그,hwayoungpark-,홍보
"3시간 빡센 수련, 성취감 짜릿",2023년 8월 27일,,2026년 5월 8일,https://blog.naver.com/mutzimhn/223194907169,%EB%84%A4%EC%9D%B4%EB%B2%84_%EB%B8%94%EB%A1%9C%EA%B7%B8_20230827.pdf,아가르 스튜디오,No,네이버 블로그,hanna wangmutzim,리뷰
"7번째 방문, 마지막 수업도 만족",2026년 5월 8일,,2026년 5월 8일,https://www.obud.co/place/yogaweek-yeonhui?tab=review,%EC%98%A4%EB%B6%93_20260508.pdf,빅블루 요가,No,오붓,d******,리뷰
"커플요가 원데이, 깊은 분위기·진심 지도",2023년 6월 12일,,2026년 5월 8일,https://www.frip.co.kr/hosts/19593/reviews,%ED%94%84%EB%A6%BD_20230612.pdf,아가르 스튜디오,No,프립,소맹,리뷰
초보도 힐링한 맞춤 아사나 요가 수업,2023년 3월 16일,,2026년 5월 8일,https://www.frip.co.kr/hosts/19593/reviews,%ED%94%84%EB%A6%BD_20230316.pdf,아가르 스튜디오,No,프립,도망가자산으로,리뷰
